[1012/135515:INFO:CONSOLE(3115)] "Widgets refreshed ", source: ac://theme/default/js/ui.js (3115)
[1012/135521:INFO:CONSOLE(4429)] "No tracks filtered", source: ac://theme/default/js/ui.js (4429)
[1012/135521:INFO:CONSOLE(3115)] "Widgets refreshed ", source: ac://theme/default/js/ui.js (3115)
[1012/135521:INFO:CONSOLE(3115)] "Widgets refreshed ", source: ac://theme/default/js/ui.js (3115)
[1012/135521:INFO:CONSOLE(440)] ">>> Summary redraw: opponents", source: ac://theme/default/js/ui.js (440)
[1012/135521:INFO:CONSOLE(1724)] "clicked filter tracks", source: ac://theme/default/js/ui.js (1724)
[1012/135521:INFO:CONSOLE(1831)] "track tag selected: all", source: ac://theme/default/js/ui.js (1831)
[1012/135521:INFO:CONSOLE(3115)] "Widgets refreshed ", source: ac://theme/default/js/ui.js (3115)
[1012/135523:INFO:CONSOLE(110)] "[object Object]", source:  (110)
[1012/135523:INFO:CONSOLE(362)] "UIOnline >>> sorting by:", source:  (362)
[1012/135534:INFO:CONSOLE(992)] "0", source:  (992)
[1012/135539:INFO:CONSOLE(4604)] "setting session type to: practice", source: ac://theme/default/js/ui.js (4604)
[1012/135539:INFO:CONSOLE(4429)] "No tracks filtered", source: ac://theme/default/js/ui.js (4429)
[1012/135539:INFO:CONSOLE(3115)] "Widgets refreshed ", source: ac://theme/default/js/ui.js (3115)
[1012/135539:INFO:CONSOLE(3115)] "Widgets refreshed ", source: ac://theme/default/js/ui.js (3115)
[1012/135539:INFO:CONSOLE(440)] ">>> Summary redraw: opponents", source: ac://theme/default/js/ui.js (440)
[1012/135539:INFO:CONSOLE(1724)] "clicked filter tracks", source: ac://theme/default/js/ui.js (1724)
[1012/135539:INFO:CONSOLE(1831)] "track tag selected: all", source: ac://theme/default/js/ui.js (1831)
[1012/135539:INFO:CONSOLE(3115)] "Widgets refreshed ", source: ac://theme/default/js/ui.js (3115)
[1012/135546:INFO:CONSOLE(1724)] "clicked filter brands", source: ac://theme/default/js/ui.js (1724)
